XS (b),dXS (b),Ea (eV)
6.100000000000000e-11,3.700000000000000e-11,3.648800000000000e+05
1.400000000000000e-10,8.000000000000000e-11,3.884200000000000e+05
1.700000000000000e-10,8.000000000000000e-11,3.936510000000000e+05
1.900000000000000e-10,9.300000000000000e-11,3.988830000000000e+05
2.200000000000000e-10,1.000000000000000e-10,4.028060000000000e+05
3.300000000000000e-10,1.100000000000000e-10,4.080370000000000e+05
3.600000000000000e-10,1.200000000000000e-10,4.145760000000000e+05
3.900000000000000e-10,1.400000000000000e-10,4.185000000000000e+05
4.900000000000000e-10,1.400000000000000e-10,4.289620000000000e+05
7.200000000000000e-10,2.000000000000000e-10,4.368090000000000e+05
1.100000000000000e-09,2.200000000000000e-10,4.472720000000000e+05
1.600000000000000e-09,3.800000000000000e-10,4.577340000000000e+05
2.200000000000000e-09,4.400000000000000e-10,4.668890000000000e+05
3.000000000000000e-09,6.000000000000000e-10,4.773510000000000e+05
4.100000000000000e-09,7.700000000000000e-10,4.878140000000000e+05
5.500000000000000e-09,9.400000000000001e-10,4.969690000000000e+05
7.699999999999999e-09,1.300000000000000e-09,5.074310000000000e+05
1.400000000000000e-08,1.900000000000000e-09,5.270480000000000e+05
2.400000000000000e-08,2.900000000000000e-09,5.466650000000000e+05
3.900000000000000e-08,4.700000000000000e-09,5.662830000000000e+05
7.000000000000000e-08,8.400000000000001e-09,5.859000000000000e+05
2.400000000000000e-07,2.400000000000000e-08,6.355970000000000e+05
7.100000000000000e-07,7.100000000000000e-08,6.852930000000000e+05
2.200000000000000e-06,2.000000000000000e-07,7.349900000000000e+05
5.800000000000000e-06,5.200000000000000e-07,7.846870000000000e+05
1.400000000000000e-05,1.200000000000000e-06,8.343840000000000e+05
3.300000000000000e-05,3.000000000000000e-06,8.840810000000000e+05
7.400000000000000e-05,6.700000000000000e-06,9.337780000000000e+05
1.700000000000000e-04,1.500000000000000e-05,9.939370000000000e+05
2.800000000000000e-04,2.500000000000000e-05,1.031860000000000e+06
3.400000000000000e-04,3.100000000000000e-05,1.041020000000000e+06
4.000000000000000e-04,3.600000000000000e-05,1.046250000000000e+06
8.700000000000000e-04,7.800000000000000e-05,1.051480000000000e+06
2.000000000000000e-03,1.800000000000000e-04,1.056710000000000e+06
2.100000000000000e-03,1.900000000000000e-04,1.061940000000000e+06
2.000000000000000e-03,1.800000000000000e-04,1.065870000000000e+06
1.600000000000000e-03,1.400000000000000e-04,1.071100000000000e+06
1.100000000000000e-03,9.500000000000001e-05,1.076330000000000e+06
6.200000000000000e-04,5.600000000000000e-05,1.081560000000000e+06
5.800000000000000e-04,5.200000000000000e-05,1.086790000000000e+06
5.800000000000000e-04,5.200000000000000e-05,1.092020000000000e+06
7.900000000000000e-04,7.100000000000000e-05,1.140410000000000e+06
9.800000000000000e-04,8.899999999999999e-05,1.190110000000000e+06
1.100000000000000e-03,1.000000000000000e-04,1.248960000000000e+06
1.300000000000000e-03,1.200000000000000e-04,1.309120000000000e+06
1.400000000000000e-03,1.200000000000000e-04,1.319580000000000e+06
1.500000000000000e-03,1.400000000000000e-04,1.330040000000000e+06
4.300000000000000e-03,3.900000000000000e-04,1.333970000000000e+06
5.800000000000000e-03,5.200000000000000e-04,1.339200000000000e+06
5.900000000000000e-03,5.300000000000000e-04,1.344430000000000e+06
5.200000000000000e-03,4.700000000000000e-04,1.349660000000000e+06
3.100000000000000e-03,2.800000000000000e-04,1.354890000000000e+06
1.800000000000000e-03,1.600000000000000e-04,1.360120000000000e+06
1.500000000000000e-03,1.300000000000000e-04,1.369280000000000e+06
1.500000000000000e-03,1.300000000000000e-04,1.388900000000000e+06
