XS (b),dXS (b),Ea (eV)
9.599999999999999e-03,9.600000000000000e-04,1.061000000000000e+06
6.220000000000000e-03,6.200000000000000e-04,4.234000000000000e+06
6.704000000000000e-02,6.700000000000000e-03,4.415000000000000e+06
3.189000000000000e-02,3.190000000000000e-03,4.748000000000000e+06
3.303000000000000e-02,3.300000000000000e-03,4.807000000000000e+06
3.107000000000000e-02,3.110000000000000e-03,4.838000000000000e+06
2.701000000000000e-02,2.700000000000000e-03,4.866000000000000e+06
1.184800000000000e-01,1.185000000000000e-02,4.996000000000000e+06
5.076000000000000e-02,5.080000000000000e-03,5.357000000000000e+06
7.933999999999999e-02,7.930000000000000e-03,5.453000000000000e+06
7.449000000000000e-02,7.450000000000000e-03,5.483000000000000e+06
8.744000000000000e-02,8.740000000000000e-03,5.493000000000000e+06
4.496000000000000e-02,4.500000000000000e-03,5.634000000000000e+06
4.270000000000000e-02,4.270000000000000e-03,5.689000000000000e+06
5.238000000000000e-02,5.240000000000000e-03,5.785000000000000e+06
5.787000000000000e-02,5.790000000000000e-03,5.796000000000000e+06
5.626000000000000e-02,5.630000000000000e-03,5.855000000000000e+06
7.979000000000000e-02,7.979999999999999e-03,5.904000000000000e+06
1.470900000000000e-01,1.471000000000000e-02,5.976000000000000e+06
1.113200000000000e-01,1.113000000000000e-02,5.977000000000000e+06
5.999000000000000e-02,6.000000000000000e-03,6.128000000000000e+06
